census_geoid,geography_type,state_fips,place_fips,geography_name,acs_vintage,total_population,white_alone_pct,black_alone_pct,asian_alone_pct,hispanic_or_latino_pct,foreign_born_pct,under_18_pct,source_id
1600000US0100100,place,01,00100,"Abanda CDP, Alabama",2024,257,22.179,0.0,0.0,0.0,0.0,10.895,acs5_2024_place_demographics
1600000US0100124,place,01,00124,"Abbeville city, Alabama",2024,2748,47.489,49.818,0.0,3.057,0.946,16.157,acs5_2024_place_demographics
1600000US0100460,place,01,00460,"Adamsville city, Alabama",2024,4266,24.801,61.017,1.313,0.0,6.095,24.027,acs5_2024_place_demographics
1600000US0100484,place,01,00484,"Addison town, Alabama",2024,649,97.689,0.0,0.0,0.0,0.0,20.493,acs5_2024_place_demographics
1600000US0100676,place,01,00676,"Akron town, Alabama",2024,243,18.107,67.078,0.0,0.0,0.0,26.337,acs5_2024_place_demographics
1600000US0100820,place,01,00820,"Alabaster city, Alabama",2024,33917,70.947,16.254,1.109,12.354,6.899,24.755,acs5_2024_place_demographics
1600000US0100988,place,01,00988,"Albertville city, Alabama",2024,22813,65.314,4.778,0.552,30.811,13.961,29.764,acs5_2024_place_demographics
1600000US0101132,place,01,01132,"Alexander City city, Alabama",2024,14606,57.36,30.07,1.39,6.429,3.54,23.97,acs5_2024_place_demographics
1600000US0101180,place,01,01180,"Alexandria CDP, Alabama",2024,3475,82.734,5.698,0.518,0.0,0.921,18.964,acs5_2024_place_demographics
1600000US0101228,place,01,01228,"Aliceville city, Alabama",2024,2211,16.011,82.768,0.0,0.317,0.0,36.771,acs5_2024_place_demographics
1600000US0101396,place,01,01396,"Allgood town, Alabama",2024,759,62.714,0.0,0.0,61.528,32.411,31.621,acs5_2024_place_demographics
1600000US0101660,place,01,01660,"Altoona town, Alabama",2024,1252,96.006,0.16,0.0,6.39,1.597,13.498,acs5_2024_place_demographics
1600000US0101708,place,01,01708,"Andalusia city, Alabama",2024,8766,64.67,27.413,0.0,4.084,1.54,25.587,acs5_2024_place_demographics
1600000US0101756,place,01,01756,"Anderson town, Alabama",2024,410,90.976,0.976,5.122,1.22,5.61,10.732,acs5_2024_place_demographics
1600000US0101852,place,01,01852,"Anniston city, Alabama",2024,21271,42.866,50.684,0.508,4.17,2.746,20.841,acs5_2024_place_demographics
1600000US0102116,place,01,02116,"Arab city, Alabama",2024,8679,90.817,0.899,1.728,6.694,2.339,27.031,acs5_2024_place_demographics
1600000US0102260,place,01,02260,"Ardmore town, Alabama",2024,1384,93.425,0.217,0.0,1.373,0.434,21.098,acs5_2024_place_demographics
1600000US0102320,place,01,02320,"Argo city, Alabama",2024,4479,86.202,9.734,0.0,1.429,0.0,25.184,acs5_2024_place_demographics
1600000US0102428,place,01,02428,"Ariton town, Alabama",2024,614,80.782,16.124,0.0,8.632,4.397,26.71,acs5_2024_place_demographics
1600000US0102500,place,01,02500,"Arley town, Alabama",2024,523,94.455,0.0,1.147,0.765,0.956,23.327,acs5_2024_place_demographics
1600000US0102836,place,01,02836,"Ashford city, Alabama",2024,2447,73.151,20.842,0.082,3.433,0.613,23.743,acs5_2024_place_demographics
1600000US0102860,place,01,02860,"Ashland town, Alabama",2024,1797,71.063,20.312,0.0,1.669,1.057,20.423,acs5_2024_place_demographics
1600000US0102908,place,01,02908,"Ashville city, Alabama",2024,2464,82.305,15.706,0.365,1.096,0.771,22.606,acs5_2024_place_demographics
1600000US0102956,place,01,02956,"Athens city, Alabama",2024,29002,70.354,17.033,1.062,8.603,5.755,20.219,acs5_2024_place_demographics
1600000US0103004,place,01,03004,"Atmore city, Alabama",2024,8334,41.289,50.96,0.18,3.132,1.404,14.903,acs5_2024_place_demographics
1600000US0103028,place,01,03028,"Attalla city, Alabama",2024,5775,83.203,8.554,0.0,5.368,0.831,16.398,acs5_2024_place_demographics
1600000US0103076,place,01,03076,"Auburn city, Alabama",2024,80594,66.762,17.197,8.513,5.412,10.713,19.343,acs5_2024_place_demographics
1600000US0103220,place,01,03220,"Autaugaville town, Alabama",2024,809,28.554,70.828,0.0,0.494,0.0,14.71,acs5_2024_place_demographics
1600000US0103364,place,01,03364,"Avon town, Alabama",2024,378,92.593,5.291,0.0,0.0,0.0,16.402,acs5_2024_place_demographics
1600000US0103508,place,01,03508,"Axis CDP, Alabama",2024,326,87.117,8.282,0.0,0.0,0.0,13.497,acs5_2024_place_demographics
1600000US0103556,place,01,03556,"Babbie town, Alabama",2024,790,99.494,0.0,0.0,0.0,0.0,24.177,acs5_2024_place_demographics
1600000US0103676,place,01,03676,"Baileyton town, Alabama",2024,1039,97.209,0.0,0.0,2.117,0.481,25.024,acs5_2024_place_demographics
1600000US0103724,place,01,03724,"Bakerhill town, Alabama",2024,244,89.754,10.246,0.0,0.0,0.0,35.246,acs5_2024_place_demographics
1600000US0103820,place,01,03820,"Ballplay CDP, Alabama",2024,842,92.399,0.0,0.0,0.0,0.0,12.114,acs5_2024_place_demographics
1600000US0103940,place,01,03940,"Banks town, Alabama",2024,320,68.125,31.875,0.0,0.0,0.0,16.562,acs5_2024_place_demographics
1600000US0104660,place,01,04660,"Bay Minette city, Alabama",2024,8295,51.851,39.843,1.157,3.797,2.339,21.76,acs5_2024_place_demographics
1600000US0104684,place,01,04684,"Bayou La Batre city, Alabama",2024,1881,59.011,2.871,18.022,3.509,9.25,26.582,acs5_2024_place_demographics
1600000US0104852,place,01,04852,"Bear Creek town, Alabama",2024,1474,98.507,0.204,0.0,0.136,0.0,22.592,acs5_2024_place_demographics
1600000US0104900,place,01,04900,"Beatrice town, Alabama",2024,182,26.374,73.626,0.0,0.0,0.549,23.626,acs5_2024_place_demographics
1600000US0104948,place,01,04948,"Beaverton town, Alabama",2024,208,99.038,0.0,0.0,3.846,3.365,15.385,acs5_2024_place_demographics
1600000US0105140,place,01,05140,"Belgreen CDP, Alabama",2024,58,100.0,0.0,0.0,0.0,0.0,0.0,acs5_2024_place_demographics
1600000US0105164,place,01,05164,"Belk town, Alabama",2024,293,97.27,0.0,2.73,0.0,2.73,24.232,acs5_2024_place_demographics
1600000US0105188,place,01,05188,"Bellamy CDP, Alabama",2024,158,3.797,96.203,0.0,0.0,0.0,0.0,acs5_2024_place_demographics
1600000US0105212,place,01,05212,"Belle Fontaine CDP, Alabama",2024,772,94.819,0.0,2.72,2.461,4.404,16.969,acs5_2024_place_demographics
1600000US0105692,place,01,05692,"Benton town, Alabama",2024,32,81.25,0.0,0.0,0.0,0.0,0.0,acs5_2024_place_demographics
1600000US0105812,place,01,05812,"Berlin town, Alabama",2024,887,80.496,5.975,0.0,10.372,3.495,23.788,acs5_2024_place_demographics
1600000US0105932,place,01,05932,"Berry town, Alabama",2024,1040,87.019,9.038,0.0,0.0,1.058,17.596,acs5_2024_place_demographics
1600000US0105980,place,01,05980,"Bessemer city, Alabama",2024,25400,21.563,66.634,0.079,10.394,4.024,19.984,acs5_2024_place_demographics
1600000US0106460,place,01,06460,"Billingsley town, Alabama",2024,115,82.609,5.217,0.0,10.435,0.0,4.348,acs5_2024_place_demographics
1600000US0107000,place,01,07000,"Birmingham city, Alabama",2024,198173,24.845,66.869,1.38,4.757,4.653,18.891,acs5_2024_place_demographics
1600000US0107120,place,01,07120,"Black town, Alabama",2024,467,100.0,0.0,0.0,0.0,0.0,34.904,acs5_2024_place_demographics
1600000US0107456,place,01,07456,"Blountsville town, Alabama",2024,1648,72.694,9.102,0.0,14.745,8.131,23.726,acs5_2024_place_demographics
1600000US0107588,place,01,07588,"Blue Ridge CDP, Alabama",2024,1190,94.118,0.672,0.0,2.857,0.672,11.513,acs5_2024_place_demographics
1600000US0107672,place,01,07672,"Blue Springs town, Alabama",2024,100,81.0,14.0,0.0,0.0,0.0,10.0,acs5_2024_place_demographics
1600000US0107912,place,01,07912,"Boaz city, Alabama",2024,10814,78.519,1.665,0.0,17.468,4.957,35.066,acs5_2024_place_demographics
1600000US0108104,place,01,08104,"Boligee town, Alabama",2024,185,9.189,90.811,0.0,0.0,0.0,22.162,acs5_2024_place_demographics
1600000US0108248,place,01,08248,"Bon Air town, Alabama",2024,141,61.702,12.766,0.0,13.475,0.0,34.752,acs5_2024_place_demographics
1600000US0108272,place,01,08272,"Bon Secour CDP, Alabama",2024,2789,78.451,3.478,0.0,17.067,8.283,14.665,acs5_2024_place_demographics
1600000US0108680,place,01,08680,"Boykin CDP, Alabama",2024,239,0.837,99.163,0.0,0.0,0.0,46.862,acs5_2024_place_demographics
1600000US0109016,place,01,09016,"Brantley town, Alabama",2024,888,61.261,28.266,2.365,2.928,3.041,32.658,acs5_2024_place_demographics
1600000US0109064,place,01,09064,"Brantleyville CDP, Alabama",2024,845,90.178,2.722,0.0,6.746,5.325,23.905,acs5_2024_place_demographics
1600000US0109136,place,01,09136,"Brent city, Alabama",2024,4010,35.337,62.045,0.0,0.798,0.748,17.107,acs5_2024_place_demographics
1600000US0109208,place,01,09208,"Brewton city, Alabama",2024,5186,65.407,30.023,0.463,1.87,0.405,19.186,acs5_2024_place_demographics
1600000US0109328,place,01,09328,"Bridgeport city, Alabama",2024,2246,81.923,5.565,0.0,5.922,1.959,24.31,acs5_2024_place_demographics
1600000US0109400,place,01,09400,"Brighton city, Alabama",2024,3079,1.656,66.613,0.0,28.061,10.555,28.029,acs5_2024_place_demographics
1600000US0109424,place,01,09424,"Brilliant town, Alabama",2024,1097,98.359,0.0,0.0,3.646,0.0,17.138,acs5_2024_place_demographics
1600000US0109457,place,01,09457,"Bristow Cove CDP, Alabama",2024,144,100.0,0.0,0.0,0.0,0.0,25.0,acs5_2024_place_demographics
1600000US0109500,place,01,09500,"Brook Highland CDP, Alabama",2024,8146,65.64,20.685,4.333,6.862,8.421,18.438,acs5_2024_place_demographics
1600000US0109736,place,01,09736,"Brookside town, Alabama",2024,1603,56.207,37.929,0.0,0.187,0.374,29.133,acs5_2024_place_demographics
1600000US0109808,place,01,09808,"Brookwood town, Alabama",2024,2706,85.846,2.55,0.0,8.389,3.289,17.443,acs5_2024_place_demographics
1600000US0109880,place,01,09880,"Broomtown CDP, Alabama",2024,279,89.247,0.0,0.0,0.0,0.0,9.319,acs5_2024_place_demographics
1600000US0110240,place,01,10240,"Brundidge city, Alabama",2024,2392,23.871,69.147,0.46,6.647,3.93,28.888,acs5_2024_place_demographics
1600000US0110456,place,01,10456,"Bucks CDP, Alabama",2024,7,0.0,100.0,0.0,0.0,0.0,0.0,acs5_2024_place_demographics
1600000US0111032,place,01,11032,"Butler town, Alabama",2024,2386,65.926,24.015,0.126,3.982,1.383,28.206,acs5_2024_place_demographics
1600000US0111416,place,01,11416,"Calera city, Alabama",2024,17714,60.415,30.654,0.881,9.219,4.657,25.268,acs5_2024_place_demographics
1600000US0111488,place,01,11488,"Calvert CDP, Alabama",2024,83,100.0,0.0,0.0,0.0,0.0,0.0,acs5_2024_place_demographics
1600000US0111512,place,01,11512,"Camden city, Alabama",2024,1803,28.952,64.615,0.0,0.0,1.608,17.637,acs5_2024_place_demographics
1600000US0111680,place,01,11680,"Camp Hill town, Alabama",2024,1238,17.124,82.795,0.0,0.969,0.0,19.952,acs5_2024_place_demographics
1600000US0112016,place,01,12016,"Carbon Hill city, Alabama",2024,1536,81.055,13.346,0.0,3.125,1.888,18.815,acs5_2024_place_demographics
1600000US0112040,place,01,12040,"Cardiff town, Alabama",2024,125,41.6,58.4,0.0,0.0,0.0,3.2,acs5_2024_place_demographics
1600000US0112070,place,01,12070,"Carlisle-Rockledge CDP, Alabama",2024,1993,90.316,6.222,0.0,4.817,0.151,33.417,acs5_2024_place_demographics
1600000US0112112,place,01,12112,"Carlton CDP, Alabama",2024,35,100.0,0.0,0.0,0.0,0.0,0.0,acs5_2024_place_demographics
1600000US0112160,place,01,12160,"Carolina town, Alabama",2024,337,96.439,0.0,2.374,0.0,1.484,29.674,acs5_2024_place_demographics
1600000US0112304,place,01,12304,"Carrollton town, Alabama",2024,781,53.265,43.534,0.0,4.097,3.457,24.712,acs5_2024_place_demographics
1600000US0112496,place,01,12496,"Castleberry town, Alabama",2024,279,70.968,26.882,0.0,0.0,0.0,16.846,acs5_2024_place_demographics
