census_geoid,geography_type,state_fips,place_fips,geography_name,acs_vintage,education_universe_25_plus,bachelors_or_higher_count,bachelors_or_higher_pct,source_id
1600000US0100100,place,01,00100,"Abanda CDP, Alabama",2024,90,41,45.556,acs5_2024_place_education
1600000US0100124,place,01,00124,"Abbeville city, Alabama",2024,2139,366,17.111,acs5_2024_place_education
1600000US0100460,place,01,00460,"Adamsville city, Alabama",2024,2964,506,17.072,acs5_2024_place_education
1600000US0100484,place,01,00484,"Addison town, Alabama",2024,478,34,7.113,acs5_2024_place_education
1600000US0100676,place,01,00676,"Akron town, Alabama",2024,165,7,4.242,acs5_2024_place_education
1600000US0100820,place,01,00820,"Alabaster city, Alabama",2024,22502,9245,41.085,acs5_2024_place_education
1600000US0100988,place,01,00988,"Albertville city, Alabama",2024,14070,2962,21.052,acs5_2024_place_education
1600000US0101132,place,01,01132,"Alexander City city, Alabama",2024,10234,2064,20.168,acs5_2024_place_education
1600000US0101180,place,01,01180,"Alexandria CDP, Alabama",2024,2636,685,25.986,acs5_2024_place_education
1600000US0101228,place,01,01228,"Aliceville city, Alabama",2024,1258,191,15.183,acs5_2024_place_education
1600000US0101396,place,01,01396,"Allgood town, Alabama",2024,477,37,7.757,acs5_2024_place_education
1600000US0101660,place,01,01660,"Altoona town, Alabama",2024,1034,80,7.737,acs5_2024_place_education
1600000US0101708,place,01,01708,"Andalusia city, Alabama",2024,5878,1186,20.177,acs5_2024_place_education
1600000US0101756,place,01,01756,"Anderson town, Alabama",2024,310,81,26.129,acs5_2024_place_education
1600000US0101852,place,01,01852,"Anniston city, Alabama",2024,15159,3104,20.476,acs5_2024_place_education
1600000US0102116,place,01,02116,"Arab city, Alabama",2024,5644,1461,25.886,acs5_2024_place_education
1600000US0102260,place,01,02260,"Ardmore town, Alabama",2024,946,156,16.49,acs5_2024_place_education
1600000US0102320,place,01,02320,"Argo city, Alabama",2024,2963,939,31.691,acs5_2024_place_education
1600000US0102428,place,01,02428,"Ariton town, Alabama",2024,393,75,19.084,acs5_2024_place_education
1600000US0102500,place,01,02500,"Arley town, Alabama",2024,330,71,21.515,acs5_2024_place_education
1600000US0102836,place,01,02836,"Ashford city, Alabama",2024,1605,298,18.567,acs5_2024_place_education
