census_geoid,state_fips,place_fips,geography_name,acs_vintage,median_home_value,median_gross_rent,renter_cost_burden_30_pct_plus,renter_cost_burden_universe,source_id
1600000US0100100,01,00100,"Abanda CDP, Alabama",2024,415500,,,0,acs5_2024_place_housing
1600000US0100124,01,00124,"Abbeville city, Alabama",2024,107600,493,55.5,362,acs5_2024_place_housing
1600000US0100460,01,00460,"Adamsville city, Alabama",2024,145700,1347,51.6,378,acs5_2024_place_housing
1600000US0100484,01,00484,"Addison town, Alabama",2024,110600,,18.6,86,acs5_2024_place_housing
1600000US0100676,01,00676,"Akron town, Alabama",2024,77000,,,0,acs5_2024_place_housing
1600000US0100820,01,00820,"Alabaster city, Alabama",2024,261700,1372,49.2,1564,acs5_2024_place_housing
1600000US0100988,01,00988,"Albertville city, Alabama",2024,188400,872,49.0,2433,acs5_2024_place_housing
1600000US0101132,01,01132,"Alexander City city, Alabama",2024,155000,721,35.8,2296,acs5_2024_place_housing
1600000US0101180,01,01180,"Alexandria CDP, Alabama",2024,197700,931,17.7,164,acs5_2024_place_housing
1600000US0101228,01,01228,"Aliceville city, Alabama",2024,124300,702,38.8,358,acs5_2024_place_housing
1600000US0101396,01,01396,"Allgood town, Alabama",2024,104600,816,44.4,54,acs5_2024_place_housing
1600000US0101660,01,01660,"Altoona town, Alabama",2024,114100,380,19.7,157,acs5_2024_place_housing
1600000US0101708,01,01708,"Andalusia city, Alabama",2024,153200,730,43.7,1188,acs5_2024_place_housing
1600000US0101756,01,01756,"Anderson town, Alabama",2024,304300,900,0.0,17,acs5_2024_place_housing
1600000US0101852,01,01852,"Anniston city, Alabama",2024,158800,799,54.5,3688,acs5_2024_place_housing
1600000US0102116,01,02116,"Arab city, Alabama",2024,215200,718,40.5,1002,acs5_2024_place_housing
1600000US0102260,01,02260,"Ardmore town, Alabama",2024,216600,714,38.7,212,acs5_2024_place_housing
1600000US0102320,01,02320,"Argo city, Alabama",2024,248100,,0.0,128,acs5_2024_place_housing
1600000US0102428,01,02428,"Ariton town, Alabama",2024,206600,833,50.9,53,acs5_2024_place_housing
1600000US0102500,01,02500,"Arley town, Alabama",2024,98600,,30.2,43,acs5_2024_place_housing
1600000US0102836,01,02836,"Ashford city, Alabama",2024,180100,994,41.2,238,acs5_2024_place_housing
1600000US0102860,01,02860,"Ashland town, Alabama",2024,159300,366,51.8,326,acs5_2024_place_housing
1600000US0102908,01,02908,"Ashville city, Alabama",2024,204900,738,34.9,169,acs5_2024_place_housing
1600000US0102956,01,02956,"Athens city, Alabama",2024,270000,899,37.3,4049,acs5_2024_place_housing
1600000US0103004,01,03004,"Atmore city, Alabama",2024,157800,777,43.5,1246,acs5_2024_place_housing
1600000US0103028,01,03028,"Attalla city, Alabama",2024,126100,743,33.8,698,acs5_2024_place_housing
1600000US0103076,01,03076,"Auburn city, Alabama",2024,364800,1098,54.0,14161,acs5_2024_place_housing
1600000US0103220,01,03220,"Autaugaville town, Alabama",2024,144000,383,12.0,75,acs5_2024_place_housing
1600000US0103364,01,03364,"Avon town, Alabama",2024,122500,666,71.4,42,acs5_2024_place_housing
1600000US0103508,01,03508,"Axis CDP, Alabama",2024,208300,,,0,acs5_2024_place_housing
1600000US0103556,01,03556,"Babbie town, Alabama",2024,181300,,0.0,14,acs5_2024_place_housing
1600000US0103676,01,03676,"Baileyton town, Alabama",2024,89800,879,40.6,64,acs5_2024_place_housing
1600000US0103724,01,03724,"Bakerhill town, Alabama",2024,94200,,0.0,24,acs5_2024_place_housing
1600000US0103820,01,03820,"Ballplay CDP, Alabama",2024,145300,,76.0,25,acs5_2024_place_housing
1600000US0103940,01,03940,"Banks town, Alabama",2024,,1080,20.0,45,acs5_2024_place_housing
1600000US0104660,01,04660,"Bay Minette city, Alabama",2024,173000,782,53.2,1255,acs5_2024_place_housing
1600000US0104684,01,04684,"Bayou La Batre city, Alabama",2024,87800,880,49.5,309,acs5_2024_place_housing
1600000US0104852,01,04852,"Bear Creek town, Alabama",2024,96900,760,18.8,80,acs5_2024_place_housing
1600000US0104900,01,04900,"Beatrice town, Alabama",2024,80800,,0.0,8,acs5_2024_place_housing
1600000US0104948,01,04948,"Beaverton town, Alabama",2024,73300,388,58.8,17,acs5_2024_place_housing
1600000US0105140,01,05140,"Belgreen CDP, Alabama",2024,,,,0,acs5_2024_place_housing
1600000US0105164,01,05164,"Belk town, Alabama",2024,,,0.0,17,acs5_2024_place_housing
1600000US0105188,01,05188,"Bellamy CDP, Alabama",2024,105000,,0.0,44,acs5_2024_place_housing
1600000US0105212,01,05212,"Belle Fontaine CDP, Alabama",2024,227800,,18.1,116,acs5_2024_place_housing
1600000US0105692,01,05692,"Benton town, Alabama",2024,95000,,,0,acs5_2024_place_housing
1600000US0105812,01,05812,"Berlin town, Alabama",2024,146600,1574,21.1,71,acs5_2024_place_housing
1600000US0105932,01,05932,"Berry town, Alabama",2024,98000,475,32.1,159,acs5_2024_place_housing
1600000US0105980,01,05980,"Bessemer city, Alabama",2024,135900,961,48.4,4652,acs5_2024_place_housing
1600000US0106460,01,06460,"Billingsley town, Alabama",2024,113900,,0.0,15,acs5_2024_place_housing
1600000US0107000,01,07000,"Birmingham city, Alabama",2024,158800,1107,51.6,48386,acs5_2024_place_housing
1600000US0107120,01,07120,"Black town, Alabama",2024,67700,,0.0,4,acs5_2024_place_housing
1600000US0107456,01,07456,"Blountsville town, Alabama",2024,130800,924,32.6,279,acs5_2024_place_housing
1600000US0107588,01,07588,"Blue Ridge CDP, Alabama",2024,314900,,0.0,7,acs5_2024_place_housing
1600000US0107672,01,07672,"Blue Springs town, Alabama",2024,74300,,0.0,2,acs5_2024_place_housing
