census_geoid,geography_type,state_fips,county_fips,place_fips,geography_name,acs_vintage,median_household_income,total_population,source_id
0400000US01,state,01,,,Alabama,2024,63999,5086768,acs5_2024_state_income
0400000US02,state,02,,,Alaska,2024,92788,735706,acs5_2024_state_income
0400000US04,state,04,,,Arizona,2024,79964,7378838,acs5_2024_state_income
0400000US05,state,05,,,Arkansas,2024,60773,3049391,acs5_2024_state_income
0400000US06,state,06,,,California,2024,99122,39287377,acs5_2024_state_income
0400000US08,state,08,,,Colorado,2024,95470,5862189,acs5_2024_state_income
0400000US09,state,09,,,Connecticut,2024,95781,3624508,acs5_2024_state_income
0400000US10,state,10,,,Delaware,2024,84954,1021191,acs5_2024_state_income
0400000US11,state,11,,,District of Columbia,2024,109870,681294,acs5_2024_state_income
0400000US12,state,12,,,Florida,2024,74568,22416077,acs5_2024_state_income
0400000US13,state,13,,,Georgia,2024,77353,10940407,acs5_2024_state_income
0400000US15,state,15,,,Hawaii,2024,100389,1445235,acs5_2024_state_income
0400000US16,state,16,,,Idaho,2024,77800,1934262,acs5_2024_state_income
0400000US17,state,17,,,Illinois,2024,83390,12694798,acs5_2024_state_income
0400000US18,state,18,,,Indiana,2024,71957,6851073,acs5_2024_state_income
0400000US19,state,19,,,Iowa,2024,75059,3210507,acs5_2024_state_income
0400000US20,state,20,,,Kansas,2024,74275,2947197,acs5_2024_state_income
0400000US21,state,21,,,Kentucky,2024,63726,4534824,acs5_2024_state_income
0400000US22,state,22,,,Louisiana,2024,60756,4611961,acs5_2024_state_income
0400000US23,state,23,,,Maine,2024,74733,1387817,acs5_2024_state_income
0400000US24,state,24,,,Maryland,2024,103678,6206011,acs5_2024_state_income
0400000US25,state,25,,,Massachusetts,2024,103960,7044056,acs5_2024_state_income
0400000US26,state,26,,,Michigan,2024,72875,10077761,acs5_2024_state_income
0400000US27,state,27,,,Minnesota,2024,89062,5739445,acs5_2024_state_income
0400000US28,state,28,,,Mississippi,2024,56447,2946779,acs5_2024_state_income
0400000US29,state,29,,,Missouri,2024,70702,6191814,acs5_2024_state_income
0400000US30,state,30,,,Montana,2024,72509,1116875,acs5_2024_state_income
0400000US31,state,31,,,Nebraska,2024,76475,1978707,acs5_2024_state_income
0400000US32,state,32,,,Nevada,2024,78260,3184612,acs5_2024_state_income
0400000US33,state,33,,,New Hampshire,2024,99031,1394868,acs5_2024_state_income
0400000US34,state,34,,,New Jersey,2024,103556,9343809,acs5_2024_state_income
0400000US35,state,35,,,New Mexico,2024,64059,2120246,acs5_2024_state_income
0400000US36,state,36,,,New York,2024,85974,19852366,acs5_2024_state_income
0400000US37,state,37,,,North Carolina,2024,72388,10730404,acs5_2024_state_income
0400000US38,state,38,,,North Dakota,2024,76657,784841,acs5_2024_state_income
0400000US39,state,39,,,Ohio,2024,71389,11810293,acs5_2024_state_income
0400000US40,state,40,,,Oklahoma,2024,65039,4028634,acs5_2024_state_income
0400000US41,state,41,,,Oregon,2024,83011,4254293,acs5_2024_state_income
0400000US42,state,42,,,Pennsylvania,2024,77971,13018639,acs5_2024_state_income
0400000US44,state,44,,,Rhode Island,2024,87796,1101801,acs5_2024_state_income
0400000US45,state,45,,,South Carolina,2024,69324,5296225,acs5_2024_state_income
0400000US46,state,46,,,South Dakota,2024,75081,907428,acs5_2024_state_income
0400000US47,state,47,,,Tennessee,2024,69595,7066383,acs5_2024_state_income
0400000US48,state,48,,,Texas,2024,78476,30188424,acs5_2024_state_income
0400000US49,state,49,,,Utah,2024,95166,3392331,acs5_2024_state_income
0400000US50,state,50,,,Vermont,2024,81203,647106,acs5_2024_state_income
0400000US51,state,51,,,Virginia,2024,93170,8705170,acs5_2024_state_income
0400000US53,state,53,,,Washington,2024,98141,7816116,acs5_2024_state_income
0400000US54,state,54,,,West Virginia,2024,59608,1778373,acs5_2024_state_income
0400000US55,state,55,,,Wisconsin,2024,77485,5914872,acs5_2024_state_income
0400000US56,state,56,,,Wyoming,2024,76176,582397,acs5_2024_state_income
0500000US01001,county,01,001,,"Autauga County, Alabama",2024,72481,59947,acs5_2024_county_income
0500000US01003,county,01,003,,"Baldwin County, Alabama",2024,78775,246989,acs5_2024_county_income
0500000US01005,county,01,005,,"Barbour County, Alabama",2024,46042,24643,acs5_2024_county_income
0500000US01007,county,01,007,,"Bibb County, Alabama",2024,52541,22130,acs5_2024_county_income
0500000US01009,county,01,009,,"Blount County, Alabama",2024,64190,59518,acs5_2024_county_income
0500000US01011,county,01,011,,"Bullock County, Alabama",2024,31310,10058,acs5_2024_county_income
0500000US01013,county,01,013,,"Butler County, Alabama",2024,44755,18630,acs5_2024_county_income
0500000US01015,county,01,015,,"Calhoun County, Alabama",2024,55029,116090,acs5_2024_county_income
0500000US01017,county,01,017,,"Chambers County, Alabama",2024,49656,34192,acs5_2024_county_income
0500000US01019,county,01,019,,"Cherokee County, Alabama",2024,53863,25443,acs5_2024_county_income
0500000US01021,county,01,021,,"Chilton County, Alabama",2024,65603,45992,acs5_2024_county_income
0500000US01023,county,01,023,,"Choctaw County, Alabama",2024,47813,12380,acs5_2024_county_income
0500000US01025,county,01,025,,"Clarke County, Alabama",2024,49249,22543,acs5_2024_county_income
0500000US01027,county,01,027,,"Clay County, Alabama",2024,55250,14192,acs5_2024_county_income
0500000US01029,county,01,029,,"Cleburne County, Alabama",2024,55345,15426,acs5_2024_county_income
0500000US01031,county,01,031,,"Coffee County, Alabama",2024,68353,54920,acs5_2024_county_income
0500000US01033,county,01,033,,"Colbert County, Alabama",2024,60628,58022,acs5_2024_county_income
0500000US01035,county,01,035,,"Conecuh County, Alabama",2024,41327,11275,acs5_2024_county_income
0500000US01037,county,01,037,,"Coosa County, Alabama",2024,57355,10300,acs5_2024_county_income
0500000US01039,county,01,039,,"Covington County, Alabama",2024,52456,37628,acs5_2024_county_income
0500000US01041,county,01,041,,"Crenshaw County, Alabama",2024,48560,13122,acs5_2024_county_income
0500000US01043,county,01,043,,"Cullman County, Alabama",2024,62656,90566,acs5_2024_county_income
0500000US01045,county,01,045,,"Dale County, Alabama",2024,54963,49599,acs5_2024_county_income
0500000US01047,county,01,047,,"Dallas County, Alabama",2024,35627,36858,acs5_2024_county_income
0500000US01049,county,01,049,,"DeKalb County, Alabama",2024,51204,72269,acs5_2024_county_income
0500000US01051,county,01,051,,"Elmore County, Alabama",2024,78243,89526,acs5_2024_county_income
0500000US01053,county,01,053,,"Escambia County, Alabama",2024,48225,36629,acs5_2024_county_income
0500000US01055,county,01,055,,"Etowah County, Alabama",2024,54563,103105,acs5_2024_county_income
0500000US01057,county,01,057,,"Fayette County, Alabama",2024,49488,16053,acs5_2024_county_income
0500000US01059,county,01,059,,"Franklin County, Alabama",2024,53338,31966,acs5_2024_county_income
0500000US01061,county,01,061,,"Geneva County, Alabama",2024,52771,26887,acs5_2024_county_income
0500000US01063,county,01,063,,"Greene County, Alabama",2024,29200,7424,acs5_2024_county_income
0500000US01065,county,01,065,,"Hale County, Alabama",2024,39250,14829,acs5_2024_county_income
0500000US01067,county,01,067,,"Henry County, Alabama",2024,59931,17647,acs5_2024_county_income
0500000US01069,county,01,069,,"Houston County, Alabama",2024,58626,108140,acs5_2024_county_income
0500000US01071,county,01,071,,"Jackson County, Alabama",2024,51908,53053,acs5_2024_county_income
0500000US01073,county,01,073,,"Jefferson County, Alabama",2024,66388,667755,acs5_2024_county_income
0500000US01075,county,01,075,,"Lamar County, Alabama",2024,50000,13693,acs5_2024_county_income
0500000US01077,county,01,077,,"Lauderdale County, Alabama",2024,62649,95830,acs5_2024_county_income
0500000US01079,county,01,079,,"Lawrence County, Alabama",2024,66071,33276,acs5_2024_county_income
0500000US01081,county,01,081,,"Lee County, Alabama",2024,65824,181134,acs5_2024_county_income
0500000US01083,county,01,083,,"Limestone County, Alabama",2024,83629,111233,acs5_2024_county_income
0500000US01085,county,01,085,,"Lowndes County, Alabama",2024,37052,9833,acs5_2024_county_income
0500000US01087,county,01,087,,"Macon County, Alabama",2024,43707,18691,acs5_2024_county_income
0500000US01089,county,01,089,,"Madison County, Alabama",2024,86499,405718,acs5_2024_county_income
0500000US01091,county,01,091,,"Marengo County, Alabama",2024,43825,18851,acs5_2024_county_income
0500000US01093,county,01,093,,"Marion County, Alabama",2024,50088,29184,acs5_2024_county_income
0500000US01095,county,01,095,,"Marshall County, Alabama",2024,62571,99748,acs5_2024_county_income
0500000US01097,county,01,097,,"Mobile County, Alabama",2024,58880,412590,acs5_2024_county_income
0500000US01099,county,01,099,,"Monroe County, Alabama",2024,42292,19388,acs5_2024_county_income
0500000US01101,county,01,101,,"Montgomery County, Alabama",2024,59386,226718,acs5_2024_county_income
0500000US01103,county,01,103,,"Morgan County, Alabama",2024,68845,124471,acs5_2024_county_income
0500000US01105,county,01,105,,"Perry County, Alabama",2024,37654,8031,acs5_2024_county_income
0500000US01107,county,01,107,,"Pickens County, Alabama",2024,46274,18721,acs5_2024_county_income
0500000US01109,county,01,109,,"Pike County, Alabama",2024,48677,32987,acs5_2024_county_income
0500000US01111,county,01,111,,"Randolph County, Alabama",2024,52338,22510,acs5_2024_county_income
0500000US01113,county,01,113,,"Russell County, Alabama",2024,51197,58811,acs5_2024_county_income
0500000US01115,county,01,115,,"St. Clair County, Alabama",2024,77463,94166,acs5_2024_county_income
0500000US01117,county,01,117,,"Shelby County, Alabama",2024,97961,230211,acs5_2024_county_income
0500000US01119,county,01,119,,"Sumter County, Alabama",2024,33310,11878,acs5_2024_county_income
0500000US01121,county,01,121,,"Talladega County, Alabama",2024,57776,81021,acs5_2024_county_income
0500000US01123,county,01,123,,"Tallapoosa County, Alabama",2024,59356,40938,acs5_2024_county_income
0500000US01125,county,01,125,,"Tuscaloosa County, Alabama",2024,66231,237552,acs5_2024_county_income
