#ASSMT_CD,HIGHEST_RECENT_IND,LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
"ACT","Highest","2024-25","601","Appling County","0103","Appling County High School","All Students","Composite","1380130.","12390","TFS","TFS","19.4","21.5","TFS","TFS"
"ACT","Highest","2024-25","601","Appling County","0103","Appling County High School","All Students","English","1380130.","12389","TFS","TFS","18.4","20.7","TFS","TFS"
"ACT","Highest","2024-25","601","Appling County","0103","Appling County High School","All Students","Mathematics","1380130.","12389","TFS","TFS","18.9","20.7","TFS","TFS"
"ACT","Highest","2024-25","601","Appling County","0103","Appling County High School","All Students","Reading","1380130.","12389","TFS","TFS","20","22.7","TFS","TFS"
"ACT","Highest","2024-25","601","Appling County","0103","Appling County High School","All Students","Science","1380130.","12190","TFS","TFS","19.6","21.6","TFS","TFS"
"ACT","Highest","2024-25","602","Atkinson County","0103","Atkinson County High School","All Students","Composite","1380130.","12390","TFS","TFS","19.4","21.5","TFS","TFS"
"ACT","Highest","2024-25","602","Atkinson County","0103","Atkinson County High School","All Students","English","1380130.","12389","TFS","TFS","18.4","20.7","TFS","TFS"
"ACT","Highest","2024-25","602","Atkinson County","0103","Atkinson County High School","All Students","Mathematics","1380130.","12389","TFS","TFS","18.9","20.7","TFS","TFS"
"ACT","Highest","2024-25","602","Atkinson County","0103","Atkinson County High School","All Students","Reading","1380130.","12389","TFS","TFS","20","22.7","TFS","TFS"
"ACT","Highest","2024-25","602","Atkinson County","0103","Atkinson County High School","All Students","Science","1380130.","12190","TFS","TFS","19.6","21.6","TFS","TFS"
"ACT","Highest","2024-25","603","Bacon County","0302","Bacon County High School","All Students","Composite","1380130.","12390","TFS","TFS","19.4","21.5","TFS","TFS"
"ACT","Highest","2024-25","603","Bacon County","0302","Bacon County High School","All Students","English","1380130.","12389","TFS","TFS","18.4","20.7","TFS","TFS"
"ACT","Highest","2024-25","603","Bacon County","0302","Bacon County High School","All Students","Mathematics","1380130.","12389","TFS","TFS","18.9","20.7","TFS","TFS"
"ACT","Highest","2024-25","603","Bacon County","0302","Bacon County High School","All Students","Reading","1380130.","12389","TFS","TFS","20","22.7","TFS","TFS"
"ACT","Highest","2024-25","603","Bacon County","0302","Bacon County High School","All Students","Science","1380130.","12190","TFS","TFS","19.6","21.6","TFS","TFS"
"ACT","Highest","2024-25","603","Bacon County","0302","Bacon County High School","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","605","Baldwin County","0189","Baldwin High School","All Students","Composite","1380130.","12390","19","19","19.4","21.5","18.3","18.3"
"ACT","Highest","2024-25","605","Baldwin County","0189","Baldwin High School","All Students","English","1380130.","12389","19","19","18.4","20.7","17.2","17.2"
"ACT","Highest","2024-25","605","Baldwin County","0189","Baldwin High School","All Students","Mathematics","1380130.","12389","19","19","18.9","20.7","17.6","17.6"
"ACT","Highest","2024-25","605","Baldwin County","0189","Baldwin High School","All Students","Reading","1380130.","12389","19","19","20","22.7","19.5","19.5"
"ACT","Highest","2024-25","605","Baldwin County","0189","Baldwin High School","All Students","Science","1380130.","12190","19","19","19.6","21.6","18.1","18.1"
