#ASSMT_CD,HIGHEST_RECENT_IND,LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
"SAT","Highest","2024-25","601","Appling County","0103","Appling County High School","All Students","Combined Test Score","2004965.","44722","42","42","1029","1037","982.6","982.6"
"SAT","Highest","2024-25","601","Appling County","0103","Appling County High School","All Students","Evidence Based Reading and Writing - New","2004965.","44721","42","42","521","532.9","508.8","508.8"
"SAT","Highest","2024-25","601","Appling County","0103","Appling County High School","All Students","Math Section Score - New","2004965.","44722","42","42","508","504.1","473.8","473.8"
"SAT","Highest","2024-25","602","Atkinson County","0103","Atkinson County High School","All Students","Combined Test Score","2004965.","44722","10","10","1029","1037","1033","1033"
"SAT","Highest","2024-25","602","Atkinson County","0103","Atkinson County High School","All Students","Evidence Based Reading and Writing - New","2004965.","44721","10","10","521","532.9","536","536"
"SAT","Highest","2024-25","602","Atkinson County","0103","Atkinson County High School","All Students","Math Section Score - New","2004965.","44722","10","10","508","504.1","497","497"
"SAT","Highest","2024-25","603","Bacon County","0302","Bacon County High School","All Students","Combined Test Score","2004965.","44722","17","17","1029","1037","1007.6","1007.6"
"SAT","Highest","2024-25","603","Bacon County","0302","Bacon County High School","All Students","Evidence Based Reading and Writing - New","2004965.","44721","17","17","521","532.9","520.6","520.6"
"SAT","Highest","2024-25","603","Bacon County","0302","Bacon County High School","All Students","Math Section Score - New","2004965.","44722","17","17","508","504.1","487.1","487.1"
"SAT","Highest","2024-25","604","Baker County","0105","Baker County High School","All Students","Combined Test Score","2004965.","44722","15","15","1029","1037","822.7","822.7"
"SAT","Highest","2024-25","604","Baker County","0105","Baker County High School","All Students","Evidence Based Reading and Writing - New","2004965.","44721","15","15","521","532.9","430","430"
"SAT","Highest","2024-25","604","Baker County","0105","Baker County High School","All Students","Math Section Score - New","2004965.","44722","15","15","508","504.1","392.7","392.7"
"SAT","Highest","2024-25","605","Baldwin County","0189","Baldwin High School","All Students","Combined Test Score","2004965.","44722","88","88","1029","1037","944.1","944.1"
"SAT","Highest","2024-25","605","Baldwin County","0189","Baldwin High School","All Students","Evidence Based Reading and Writing - New","2004965.","44721","88","88","521","532.9","489.8","489.8"
"SAT","Highest","2024-25","605","Baldwin County","0189","Baldwin High School","All Students","Math Section Score - New","2004965.","44722","88","88","508","504.1","454.3","454.3"
