observation_id,nces_school_id,nces_district_id,test_type,metric_name,metric_value,score_year,students_tested,participation_rate,aggregation_method,source_type,source_id,confidence,notes
ky_2100030_act_2024_25,,2100030,ACT,average_composite,16.8,2024-25,194,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100070_act_2024_25,,2100070,ACT,average_composite,17,2024-25,217,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100081_act_2024_25,,2100081,ACT,average_composite,17.7,2024-25,253,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100120_act_2024_25,,2100120,ACT,average_composite,17,2024-25,304,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100150_act_2024_25,,2100150,ACT,average_composite,18.6,2024-25,208,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100180_act_2024_25,,2100180,ACT,average_composite,16.4,2024-25,28,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100210_act_2024_25,,2100210,ACT,average_composite,19.1,2024-25,80,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100240_act_2024_25,,2100240,ACT,average_composite,17.3,2024-25,47,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100270_act_2024_25,,2100270,ACT,average_composite,19.1,2024-25,168,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100290_act_2024_25,,2100290,ACT,average_composite,25.8,2024-25,119,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100300_act_2024_25,,2100300,ACT,average_composite,18.1,2024-25,370,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100330_act_2024_25,,2100330,ACT,average_composite,16.3,2024-25,146,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100360_act_2024_25,,2100360,ACT,average_composite,23.5,2024-25,117,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100390_act_2024_25,,2100390,ACT,average_composite,17.7,2024-25,135,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100420_act_2024_25,,2100420,ACT,average_composite,17.9,2024-25,52,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100480_act_2024_25,,2100480,ACT,average_composite,17.9,2024-25,86,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100510_act_2024_25,,2100510,ACT,average_composite,19.2,2024-25,1506,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100540_act_2024_25,,2100540,ACT,average_composite,17.4,2024-25,176,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100570_act_2024_25,,2100570,ACT,average_composite,19.6,2024-25,344,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100620_act_2024_25,,2100620,ACT,average_composite,17.6,2024-25,231,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100630_act_2024_25,,2100630,ACT,average_composite,20.9,2024-25,211,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100660_act_2024_25,,2100660,ACT,average_composite,17.4,2024-25,100,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100690_act_2024_25,,2100690,ACT,average_composite,15.6,2024-25,99,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100720_act_2024_25,,2100720,ACT,average_composite,18.2,2024-25,216,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100750_act_2024_25,,2100750,ACT,average_composite,17.9,2024-25,1025,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100780_act_2024_25,,2100780,ACT,average_composite,18.2,2024-25,43,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100810_act_2024_25,,2100810,ACT,average_composite,17.8,2024-25,145,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100840_act_2024_25,,2100840,ACT,average_composite,18.2,2024-25,136,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100870_act_2024_25,,2100870,ACT,average_composite,18.5,2024-25,201,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100900_act_2024_25,,2100900,ACT,average_composite,19.9,2024-25,387,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100930_act_2024_25,,2100930,ACT,average_composite,17.5,2024-25,83,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100960_act_2024_25,,2100960,ACT,average_composite,18.3,2024-25,43,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2100990_act_2024_25,,2100990,ACT,average_composite,15.7,2024-25,149,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101020_act_2024_25,,2101020,ACT,average_composite,17,2024-25,306,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101050_act_2024_25,,2101050,ACT,average_composite,18.3,2024-25,132,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101110_act_2024_25,,2101110,ACT,average_composite,15.2,2024-25,57,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101150_act_2024_25,,2101150,ACT,average_composite,16.8,2024-25,524,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101200_act_2024_25,,2101200,ACT,average_composite,17.5,2024-25,408,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101230_act_2024_25,,2101230,ACT,average_composite,16.8,2024-25,185,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101260_act_2024_25,,2101260,ACT,average_composite,17.6,2024-25,99,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101290_act_2024_25,,2101290,ACT,average_composite,15.6,2024-25,234,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101320_act_2024_25,,2101320,ACT,average_composite,18.8,2024-25,236,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101350_act_2024_25,,2101350,ACT,average_composite,14.9,2024-25,192,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101380_act_2024_25,,2101380,ACT,average_composite,17.8,2024-25,96,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101410_act_2024_25,,2101410,ACT,average_composite,18.2,2024-25,72,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101440_act_2024_25,,2101440,ACT,average_composite,17,2024-25,134,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101470_act_2024_25,,2101470,ACT,average_composite,18,2024-25,807,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101500_act_2024_25,,2101500,ACT,average_composite,19.5,2024-25,32,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101530_act_2024_25,,2101530,ACT,average_composite,16.7,2024-25,41,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101620_act_2024_25,,2101620,ACT,average_composite,16.9,2024-25,133,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101650_act_2024_25,,2101650,ACT,average_composite,19.9,2024-25,200,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101680_act_2024_25,,2101680,ACT,average_composite,16.5,2024-25,67,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101710_act_2024_25,,2101710,ACT,average_composite,17.8,2024-25,76,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101740_act_2024_25,,2101740,ACT,average_composite,16.6,2024-25,184,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
