census_geoid,geography_name,state_fips,place_fips,nces_school_count,nces_district_count,match_method,confidence,validation_status,notes
1600000US0100124,"Abbeville city, Alabama",01,00124,3,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0100460,"Adamsville city, Alabama",01,00460,4,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0100484,"Addison town, Alabama",01,00484,2,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0100820,"Alabaster city, Alabama",01,00820,4,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0100988,"Albertville city, Alabama",01,00988,8,2,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0101132,"Alexander City city, Alabama",01,01132,5,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0101180,"Alexandria CDP, Alabama",01,01180,3,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0101228,"Aliceville city, Alabama",01,01228,2,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0101660,"Altoona town, Alabama",01,01660,1,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0101708,"Andalusia city, Alabama",01,01708,7,2,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0101852,"Anniston city, Alabama",01,01852,16,3,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0102116,"Arab city, Alabama",01,02116,5,2,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0102260,"Ardmore town, Alabama",01,02260,2,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0102428,"Ariton town, Alabama",01,02428,1,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0102500,"Arley town, Alabama",01,02500,2,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0102836,"Ashford city, Alabama",01,02836,3,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0102860,"Ashland town, Alabama",01,02860,1,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0102908,"Ashville city, Alabama",01,02908,6,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US0102956,"Athens city, Alabama",01,02956,15,2,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
