place_geoid,place_name,state_fips,district_geoid,district_name,place_area_share_pct,crosswalk_method,crosswalk_confidence,crosswalk_validation_status,test_type,metric_name,metric_value,score_year,students_tested,participation_rate,aggregation_method,source_type,source_id,performance_confidence,performance_notes
1600000US1339216,Hoboken city,13,9700000US1300480,Brantley County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1036,2024-25,20,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1354124,Nahunta city,13,9700000US1300480,Brantley County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1036,2024-25,20,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1378996,Varnell city,13,9700000US1305700,Whitfield County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,19.4,2024-25,88,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1378996,Varnell city,13,9700000US1305700,Whitfield County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1053.8,2024-25,172,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1319168,Concord city,13,9700000US1304170,Pike County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1053.1,2024-25,59,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1350596,Meansville city,13,9700000US1304170,Pike County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1053.1,2024-25,59,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1352108,Molena city,13,9700000US1304170,Pike County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1053.1,2024-25,59,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1383084,Williamson city,13,9700000US1304170,Pike County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1053.1,2024-25,59,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1371282,Sky Valley city,13,9700000US1304320,Rabun County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1061.1,2024-25,54,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1385128,Zebulon city,13,9700000US1304170,Pike County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1053.1,2024-25,59,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1351670,Milton city,13,9700000US1302280,Fulton County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,24,2024-25,1303,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
