District,District Name,Subgroup,Valid Tests,Participation Rate,Average English Score,Average Math Score,Average Reading Score,Average Science Score,Average Composite Score,Number Scoring 21 or Higher,Percent Scoring 21 or Higher,Number Scoring Below 19,Percent Scoring Below 19
10,Anderson County,All Students,449,100,17.6,18.4,19.2,19,18.7,156,34.7,241,53.7
10,Anderson County,Black/Hispanic/Native American,40,100,15.8,17.4,17.5,18.2,17.4,8,20,27,67.5
10,Anderson County,Economically Disadvantaged,120,100,15.7,16.6,17.4,17.2,16.9,23,19.2,85,70.8
10,Anderson County,English Learners,12,100,12.3,15,13.3,14.9,13.9,<1%,<1%,>99%,>99%
10,Anderson County,Students with Disabilities,59,100,12.7,14.5,13.9,15.1,14.2,2,3.4,54,91.5
12,Oak Ridge,All Students,343,100,20.9,20.9,22.5,21.5,21.6,183,53.4,115,33.5
12,Oak Ridge,Black/Hispanic/Native American,83,99,18.1,18.2,20.3,19.1,19.1,29,34.9,45,54.2
12,Oak Ridge,Economically Disadvantaged,63,98,17,17.5,19.5,19,18.3,20,31.7,35,55.6
12,Oak Ridge,English Learners,8,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
12,Oak Ridge,Students with Disabilities,32,97,14.5,16,16.5,17,16.1,3,9.4,26,81.3
20,Bedford County,All Students,598,100,16.7,17.7,18.1,18.5,17.9,166,27.8,353,59
20,Bedford County,Black/Hispanic/Native American,282,100,14.6,16.5,16.5,17.3,16.4,46,16.3,205,72.7
20,Bedford County,Economically Disadvantaged,261,100,15.5,16.9,17.3,17.7,17,55,21.1,178,68.2
20,Bedford County,English Learners,66,100,11.3,14.3,13,15.1,13.5,1,1.5,64,97
20,Bedford County,Students with Disabilities,39,100,11.6,13.8,13.8,15.1,13.7,<1%,<1%,Suppressed,Suppressed
30,Benton County,All Students,150,100,17.6,18.6,19.2,18.8,18.7,48,32,81,54
30,Benton County,Black/Hispanic/Native American,13,100,15.9,16.8,18.4,18.1,17.5,2,15.4,8,61.5
30,Benton County,Economically Disadvantaged,59,100,16.4,17.2,18.7,18.6,17.9,15,25.4,33,55.9
30,Benton County,English Learners,2,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
30,Benton County,Students with Disabilities,19,100,13.1,14.9,14.6,16,14.7,1,5.3,18,94.7
